features:abstractness
	fasttext	bert_context_last_layer	bert_standalone	bert_vulic	mbert_context_last_layer	mbert_standalone	mbert_vulic	xlmr_context_last_layer	xlmr_standalone	xlmr_vulic	clip_context_avg	clip_standalone	mclip_context_avg	mclip_standalone	openclip_context_avg	openclip_standalone
fasttext	-	0,024729019206761182	0,014126728803506072	0,0186089567700074	0,011144044272846654	0,0040795306597042336	0,01311252907858973	0,02742188955682401	0,02803920337091559	0,03253173705295387	0,07128808927394126	0,08710443651560162	0,10678316759957085	0,16079666928014136	0,09137059881317544	0,0034703682513003153
bert_context_last_layer	0,02472899747161661	-	0,010795744783808625	0,055996925601033753	0,026483122830962103	0,01152322630377589	0,019788145233148535	0,0011006921101546219	0,001089965286699357	0,001444464569647419	0,012799628904905824	0,022715614752174318	0,031350912652746366	0,08030987209925788	0,02263774305038324	0,01220402422384359
bert_standalone	0,014126703525427997	0,010795736016561364	-	0,016718232778401343	0,001645499345212298	0,004160317905942179	0,0011242380707683353	0,014137068624766047	0,014520357352905022	0,01575515174070108	0,045018484998331165	0,04966441290927126	0,07187322275340569	0,11346272700931737	0,048835523446957296	0,0054121206926195375
bert_vulic	0,018608865903401717	0,05599671771631698	0,016718243285811285	-	0,01934173857921173	0,014026357606799045	0,018795503221989973	0,03201357164693197	0,03221715275822101	0,03841945532351576	0,048781945431535245	0,058663062769715335	0,061228441361449004	0,0882189991928497	0,056439219549061836	0,014546569435433976
mbert_context_last_layer	0,01114405865377699	0,02648291824579352	0,0016454931711092913	0,019341672460001846	-	0,0018812114929788182	0,00045567455408879187	0,01926853282602803	0,019546852905523493	0,02328391777807326	0,04429084982897202	0,057566918488082486	0,06589078414506833	0,107971491541767	0,0565694457086543	0,001533245663043914
mbert_standalone	0,004079467857389885	0,011523201010562145	0,004160520057595707	0,014026609556024083	0,001881303978312654	-	0,003267363416757263	0,03547635306086905	0,03661650451949483	0,02677412589001915	0,10717986941793745	0,11684355746987485	0,15605971747803593	0,21616959819828263	0,10690949590082377	0,00020255999559670723
mbert_vulic	0,01311248333246906	0,01978839345870076	0,0011242287068440326	0,018795388089125398	0,00045573399541276594	0,003267590677560217	-	0,019498212841051465	0,0197098083853825	0,02589477739835533	0,04035634504789554	0,05279740913617459	0,058650167955021204	0,09840782541125503	0,050360783943480425	0,0031726142510531963
xlmr_context_last_layer	0,027421898705129566	0,0011007981104829145	0,014136635852248336	0,032013382380371325	0,019268827827784718	0,03547629401558494	0,019498095292508788	-	0,0023594190677815874	0,0010460397516115494	0,3500328640971385	0,12438348530496701	0,45182081798389573	0,309241091966851	0,10537847121672128	0,022638190689261317
xlmr_standalone	0,028039190340962805	0,0010899308599969793	0,01452024454680012	0,032216917160239	0,01954686252239779	0,036616354121647654	0,019709784274744457	0,002359421620677038	-	0,0007355304728574596	0,32128575974827844	0,11730780323006051	0,42800008545805324	0,3010040185627214	0,10007206415305281	0,02324960629657158
xlmr_vulic	0,032531738269678034	0,0014443251334714802	0,01575551987414825	0,0384192578419601	0,023283984496915044	0,026774074104742862	0,025894956574110783	0,0010460483912294594	0,0007355033456526439	-	0,02268972808068659	0,03477804482901392	0,062264273986229024	0,1389061311451144	0,03000631880197968	0,022120046451629904
